x[0.18] y[2.43] z[12.31] mag[12.55] 7921501ms, 1870.00RPM, 14.75avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.21] y[2.18] z[11.48] mag[11.69] 7922001ms, 1945.00RPM, 15.47avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.32] y[2.03] z[10.44] mag[10.64] 7922501ms, 1865.00RPM, 16.16avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.23] y[1.95] z[9.69] mag[9.89] 7923001ms, 1795.00RPM, 16.83avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.26] y[1.77] z[9.10] mag[9.27] 7923501ms, 1720.00RPM, 17.46avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.20] y[1.60] z[8.38] mag[8.54] 7924001ms, 1665.00RPM, 18.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.26] y[1.49] z[7.77] mag[7.91] 7924501ms, 1595.00RPM, 18.67avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.20] y[1.35] z[7.29] mag[7.42] 7925001ms, 1540.00RPM, 19.23avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.23] y[1.37] z[6.72] mag[6.86] 7925501ms, 1485.00RPM, 19.78avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.31] y[1.20] z[6.19] mag[6.32] 7926001ms, 1425.00RPM, 20.30avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.22] y[1.16] z[5.83] mag[5.95] 7926501ms, 1375.00RPM, 20.81avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.23] y[1.10] z[5.53] mag[5.64] 7927001ms, 1330.00RPM, 21.29avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.22] y[1.05] z[5.19] mag[5.30] 7927501ms, 1280.00RPM, 21.76avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.22] y[1.05] z[4.83] mag[4.95] 7928001ms, 1235.00RPM, 22.21avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.15] y[0.94] z[4.44] mag[4.54] 7928501ms, 1195.00RPM, 22.65avgRPM, 0.00V MTR_ENA NOT BRAKING
