x[0.46] y[2.06] z[7.87] mag[8.15] 113001ms, 1690.00RPM, 500.55avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-0.09] y[1.61] z[8.03] mag[8.20] 113501ms, 1645.00RPM, 505.59avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.38] y[1.84] z[8.33] mag[8.54] 114001ms, 1665.00RPM, 510.68avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-0.04] y[1.66] z[8.23] mag[8.40] 114501ms, 1655.00RPM, 515.68avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-0.05] y[1.85] z[8.23] mag[8.44] 115001ms, 1655.00RPM, 520.63avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-0.02] y[1.68] z[8.57] mag[8.73] 115501ms, 1695.00RPM, 525.71avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-0.08] y[1.84] z[8.47] mag[8.67] 116001ms, 1700.00RPM, 530.78avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.30] y[1.88] z[8.55] mag[8.76] 116501ms, 1660.00RPM, 535.62avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.13] y[1.77] z[8.40] mag[8.59] 117001ms, 1675.00RPM, 540.49avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.03] y[1.79] z[8.57] mag[8.75] 117501ms, 1685.00RPM, 545.36avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-0.00] y[1.80] z[8.59] mag[8.77] 118001ms, 1675.00RPM, 550.15avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.20] y[1.61] z[7.91] mag[8.07] 118501ms, 1480.00RPM, 554.07avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.21] y[1.41] z[7.40] mag[7.54] 119001ms, 1560.00RPM, 558.30avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.18] y[1.30] z[6.91] mag[7.04] 119501ms, 1505.00RPM, 562.26avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.14] y[1.28] z[6.34] mag[6.47] 120001ms, 1445.00RPM, 565.94avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.17] y[1.15] z[5.77] mag[5.89] 120501ms, 1385.00RPM, 569.34avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.15] y[1.06] z[5.51] mag[5.61] 121001ms, 1340.00RPM, 572.52avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.23] y[1.00] z[5.15] mag[5.25] 121501ms, 1285.00RPM, 575.45avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.15] y[1.00] z[4.79] mag[4.90] 122001ms, 1235.00RPM, 578.16avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.16] y[0.95] z[4.37] mag[4.47] 122501ms, 1185.00RPM, 580.63avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.15] y[0.92] z[4.08] mag[4.19] 123001ms, 1145.00RPM, 582.93avgRPM, 1.67V MTR_DIS NOT BRAKING
