C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 5.00RPM, 5.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.05] mag[1.11] 6.80 degrees
1021ms, 0.00RPM, 2.50avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.34] z[1.03] mag[1.08] 4.42 degrees
1500ms, 0.00RPM, 1.67avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.39] z[1.04] mag[1.11] 5.62 degrees
2000ms, 0.00RPM, 1.25avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.05] mag[1.12] 6.77 degrees
2500ms, 0.00RPM, 1.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.05] mag[1.12] 6.85 degrees
3000ms, 0.00RPM, 0.83avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.05] mag[1.12] 6.60 degrees
3500ms, 0.00RPM, 0.71avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.37] z[1.04] mag[1.10] 5.36 degrees
4000ms, 0.00RPM, 0.63avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.04] mag[1.10] 6.24 degrees
4500ms, 0.00RPM, 0.56avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.06] y[0.38] z[1.04] mag[1.11] 5.97 degrees
5000ms, 0.00RPM, 0.50avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.36] z[1.04] mag[1.10] 4.94 degrees
5500ms, 0.00RPM, 0.45avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.05] mag[1.11] 6.42 degrees
6000ms, 0.00RPM, 0.42avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.01] y[0.37] z[1.06] mag[1.12] 7.80 degrees
6500ms, 0.00RPM, 0.38avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.02] y[0.29] z[1.05] mag[1.09] 7.45 degrees
7000ms, 0.00RPM, 0.36avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.01] y[0.37] z[1.06] mag[1.12] 7.80 degrees
7500ms, 0.00RPM, 0.33avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.06] mag[1.12] 7.37 degrees
