C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.22] z[1.06] mag[1.08]1020ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.16] z[1.07] mag[1.08]1500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.04] y[0.18] z[1.07] mag[1.09]2000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.18] z[1.05] mag[1.07]2500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.21] z[1.06] mag[1.08]3000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.04] y[0.18] z[1.04] mag[1.06]3500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.16] z[1.05] mag[1.07]4000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.15] z[1.08] mag[1.09]4500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.03] y[0.16] z[1.06] mag[1.07]5000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.04] y[0.19] z[1.05] mag[1.07]5500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.18] z[1.06] mag[1.08]6000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.21] z[1.06] mag[1.09]6500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]7000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.19] z[1.07] mag[1.09]7500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.18] z[1.09] mag[1.10]8000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]8500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
