C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.35] z[1.01] mag[1.07] 3.46 degrees
1021ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.33] z[1.02] mag[1.07] 3.99 degrees
1500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.34] z[1.08] mag[1.13] 10.24 degrees
2000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.11] mag[1.17] 12.14 degrees
2500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.36] z[1.04] mag[1.10] 7.15 degrees
3000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.36] z[1.02] mag[1.09] 5.58 degrees
3500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.34] z[1.05] mag[1.10] 7.90 degrees
4000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.06] mag[1.12] 8.90 degrees
4500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.04] mag[1.11] 7.67 degrees
5000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.38] z[1.04] mag[1.11] 6.86 degrees
5500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.03] mag[1.10] 6.71 degrees
6000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.39] z[1.07] mag[1.14] 9.18 degrees
6500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.36] z[1.05] mag[1.11] 8.63 degrees
7000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.05] mag[1.11] 7.90 degrees
7500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.39] z[1.04] mag[1.11] 7.69 degrees
8000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.03] mag[1.10] 6.81 degrees
8500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.05] y[0.33] z[1.06] mag[1.11] 8.40 degrees
9000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.04] mag[1.11] 7.56 degrees
9500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.04] mag[1.11] 7.73 degrees
