1895.00RPM, 717.99avgRPM, 0.00V MTR_ENA NOT BRAKING
1855.00RPM, 729.59avgRPM, 0.00V MTR_ENA NOT BRAKING
1740.00RPM, 739.80avgRPM, 0.00V MTR_ENA NOT BRAKING
1620.00RPM, 748.60avgRPM, 0.00V MTR_ENA NOT BRAKING
1505.00RPM, 756.09avgRPM, 0.00V MTR_ENA NOT BRAKING
1400.00RPM, 762.40avgRPM, 0.00V MTR_ENA NOT BRAKING
1305.00RPM, 767.67avgRPM, 0.00V MTR_ENA NOT BRAKING
1220.00RPM, 772.02avgRPM, 0.00V MTR_ENA NOT BRAKING
1130.00RPM, 775.43avgRPM, 0.00V MTR_ENA NOT BRAKING
1060.00RPM, 778.11avgRPM, 0.00V MTR_ENA NOT BRAKING
990.00RPM, 780.09avgRPM, 0.00V MTR_ENA NOT BRAKING
915.00RPM, 781.34avgRPM, 0.00V MTR_ENA NOT BRAKING
850.00RPM, 781.97avgRPM, 0.00V MTR_ENA NOT BRAKING
795.00RPM, 782.09avgRPM, 0.00V MTR_ENA NOT BRAKING
735.00RPM, 781.67avgRPM, 0.00V MTR_ENA NOT BRAKING
685.00RPM, 780.80avgRPM, 0.00V MTR_ENA NOT BRAKING
630.00RPM, 779.47avgRPM, 0.00V MTR_ENA NOT BRAKING
C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


5.00RPM, 5.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 2.50avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 1.67avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 1.25avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 1.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.83avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.71avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.63avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.56avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.50avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.45avgRPM, 0.56V MTR_DIS YES BRAKING
160.00RPM, 13.75avgRPM, 0.56V MTR_ENA NOT BRAKING
410.00RPM, 44.23avgRPM, 0.56V MTR_ENA NOT BRAKING
505.00RPM, 77.14avgRPM, 0.56V MTR_ENA NOT BRAKING
605.00RPM, 112.33avgRPM, 0.56V MTR_ENA NOT BRAKING
620.00RPM, 144.06avgRPM, 0.56V MTR_ENA NOT BRAKING
620.00RPM, 172.06avgRPM, 0.56V MTR_ENA NOT BRAKING
630.00RPM, 197.50avgRPM, 0.56V MTR_ENA NOT BRAKING
680.00RPM, 222.89avgRPM, 0.56V MTR_ENA NOT BRAKING
655.00RPM, 244.50avgRPM, 0.56V MTR_ENA NOT BRAKING
645.00RPM, 263.57avgRPM, 0.56V MTR_ENA NOT BRAKING
650.00RPM, 281.14avgRPM, 0.56V MTR_ENA NOT BRAKING
670.00RPM, 298.04avgRPM, 0.56V MTR_ENA NOT BRAKING
650.00RPM, 312.71avgRPM, 0.56V MTR_ENA NOT BRAKING
670.00RPM, 327.00avgRPM, 0.56V MTR_ENA NOT BRAKING
655.00RPM, 339.62avgRPM, 0.56V MTR_ENA NOT BRAKING
650.00RPM, 351.11avgRPM, 0.56V MTR_ENA NOT BRAKING
665.00RPM, 362.32avgRPM, 0.56V MTR_ENA NOT BRAKING
650.00RPM, 372.24avgRPM, 0.56V MTR_ENA NOT BRAKING
675.00RPM, 382.33avgRPM, 0.56V MTR_ENA NOT BRAKING
675.00RPM, 391.77avgRPM, 0.56V MTR_ENA NOT BRAKING
655.00RPM, 400.00avgRPM, 0.56V MTR_ENA NOT BRAKING
665.00RPM, 408.03avgRPM, 0.56V MTR_ENA NOT BRAKING
665.00RPM, 415.59avgRPM, 0.56V MTR_ENA NOT BRAKING
665.00RPM, 422.71avgRPM, 0.56V MTR_ENA NOT BRAKING
670.00RPM, 429.58avgRPM, 0.56V MTR_ENA NOT BRAKING
675.00RPM, 436.22avgRPM, 0.56V MTR_ENA NOT BRAKING
665.00RPM, 442.24avgRPM, 0.56V MTR_ENA NOT BRAKING
795.00RPM, 451.28avgRPM, 1.11V MTR_ENA NOT BRAKING
1055.00RPM, 466.38avgRPM, 1.11V MTR_ENA NOT BRAKING
1200.00RPM, 484.27avgRPM, 1.11V MTR_ENA NOT BRAKING
1325.00RPM, 504.29avgRPM, 1.11V MTR_ENA NOT BRAKING
1500.00RPM, 527.44avgRPM, 1.67V MTR_ENA NOT BRAKING
1695.00RPM, 553.98avgRPM, 1.67V MTR_ENA NOT BRAKING
1800.00RPM, 581.67avgRPM, 1.67V MTR_ENA NOT BRAKING
1915.00RPM, 610.65avgRPM, 2.22V MTR_ENA NOT BRAKING
2165.00RPM, 643.72avgRPM, 2.22V MTR_ENA NOT BRAKING
2335.00RPM, 678.96avgRPM, 2.22V MTR_ENA NOT BRAKING
2395.00RPM, 713.98avgRPM, 2.22V MTR_ENA NOT BRAKING
2445.00RPM, 748.60avgRPM, 2.22V MTR_ENA NOT BRAKING
2575.00RPM, 784.41avgRPM, 2.78V MTR_ENA NOT BRAKING
2725.00RPM, 821.73avgRPM, 2.78V MTR_ENA NOT BRAKING
2855.00RPM, 860.09avgRPM, 2.78V MTR_ENA NOT BRAKING
2885.00RPM, 897.59avgRPM, 2.78V MTR_ENA NOT BRAKING
2935.00RPM, 934.64avgRPM, 2.78V MTR_ENA NOT BRAKING
2975.00RPM, 971.07avgRPM, 3.33V MTR_ENA NOT BRAKING
