C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


x[0.00] y[0.00] z[0.00] mag[0.00] 1018ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 1022ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 1501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 2001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 2501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 3001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 3501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 4001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 4501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 5001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 5501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 6001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 6501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 7001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 7501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 8001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 8501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
